Station_Name,Train,count
18th Ave,"[{'NAME': 'D'}, {'NAME': 'F'}, {'NAME': 'N'}]",3
20th Ave,"[{'NAME': 'D'}, {'NAME': 'N'}]",2
71st St,[{'NAME': 'D'}],1
Bay Pky,"[{'NAME': 'D'}, {'NAME': 'F'}, {'NAME': 'N'}]",3
25th Ave,[{'NAME': 'D'}],1
Norwood - 205th St,[{'NAME': 'D'}],1
55th St,[{'NAME': 'D'}],1
World Trade Center,[{'NAME': 'E'}],1
Jamaica - Van Wyck,[{'NAME': 'E'}],1
Briarwood - Van Wyck Blvd,[{'NAME': 'E-F'}],1
75th Ave,[{'NAME': 'E-F'}],1
Kew Gardens - Union Tpke,[{'NAME': 'E-F'}],1
Jamaica Ctr - Parsons / Archer,[{'NAME': 'E-J-Z'}],1
Sutphin Blvd - Archer Av,[{'NAME': 'E-J-Z'}],1
Lexington Ave - 53rd St,[{'NAME': 'E-M'}],1
5th Ave - 53rd St,[{'NAME': 'E-M'}],1
Court Sq - 23rd St,[{'NAME': 'E-M'}],1
York St,[{'NAME': 'F'}],1
Lower East Side - 2nd Ave,[{'NAME': 'F'}],1
East Broadway,[{'NAME': 'F'}],1
Roosevelt Island - Main St,[{'NAME': 'F'}],1
57th St,"[{'NAME': 'F'}, {'NAME': 'N-Q-R-W'}]",2
21st St - Queensbridge,[{'NAME': 'F'}],1
Ave I,[{'NAME': 'F'}],1
Ave N,[{'NAME': 'F'}],1
Ave P,[{'NAME': 'F'}],1
Ave X,[{'NAME': 'F'}],1
Neptune Ave,[{'NAME': 'F'}],1
Kings Hwy,"[{'NAME': 'F'}, {'NAME': 'N'}, {'NAME': 'B-Q'}]",3
Ave U,"[{'NAME': 'F'}, {'NAME': 'N'}, {'NAME': 'Q'}]",3
Jamaica - 179th St,[{'NAME': 'F'}],1
Sutphin Blvd,[{'NAME': 'F'}],1
169th St,[{'NAME': 'F'}],1
Parsons Blvd,[{'NAME': 'F'}],1
Ditmas Ave,[{'NAME': 'F'}],1
Flushing Ave,"[{'NAME': 'G'}, {'NAME': 'J-M'}]",2
Myrtle-Willoughby Aves,[{'NAME': 'G'}],1
21st St,[{'NAME': 'G'}],1
Long Island City - Court Sq,[{'NAME': 'G'}],1
Metropolitan Ave,[{'NAME': 'G'}],1
Greenpoint Ave,[{'NAME': 'G'}],1
Nassau Ave,[{'NAME': 'G'}],1
Bedford - Nostrand Aves,[{'NAME': 'G'}],1
Broadway,"[{'NAME': 'G'}, {'NAME': 'N-W'}]",2
Classon Ave,[{'NAME': 'G'}],1
8th Ave,"[{'NAME': 'L'}, {'NAME': 'N'}]",2
6th Ave,[{'NAME': 'L'}],1
3rd Ave,[{'NAME': 'L'}],1
Morgan Ave,[{'NAME': 'L'}],1
Jefferson St,[{'NAME': 'L'}],1
Bushwick - Aberdeen,[{'NAME': 'L'}],1
E 105th St,[{'NAME': 'L'}],1
Canarsie - Rockaway Pkwy,[{'NAME': 'L'}],1
Livonia Ave,[{'NAME': 'L'}],1
Myrtle - Wyckoff Aves,"[{'NAME': 'L'}, {'NAME': 'M'}]",2
Halsey St,"[{'NAME': 'L'}, {'NAME': 'J'}]",2
Atlantic Ave,[{'NAME': 'L'}],1
Montrose Ave,[{'NAME': 'L'}],1
Bedford Ave,[{'NAME': 'L'}],1
Graham Ave,[{'NAME': 'L'}],1
1st Ave,[{'NAME': 'L'}],1
Wilson Ave,[{'NAME': 'L'}],1
Sutter Ave,[{'NAME': 'L'}],1
Lorimer St,"[{'NAME': 'L'}, {'NAME': 'J-M'}]",2
Kosciuszko St,[{'NAME': 'J'}],1
Cypress Hills,[{'NAME': 'J'}],1
Alabama Ave,[{'NAME': 'J'}],1
Cleveland St,[{'NAME': 'J'}],1
85th St - Forest Pky,[{'NAME': 'J'}],1
Hewes St,[{'NAME': 'J-M'}],1
Gravesend - 86th St,[{'NAME': 'N'}],1
New Utrecht Ave,[{'NAME': 'N'}],1
30th Ave,[{'NAME': 'N-W'}],1
Astoria - Ditmars Blvd,[{'NAME': 'N-W'}],1
Astoria Blvd,[{'NAME': 'N-W'}],1
39th Ave,[{'NAME': 'N-W'}],1
36th Ave,[{'NAME': 'N-W'}],1
8th St - NYU,[{'NAME': 'N-Q-R-W'}],1
Prince St,[{'NAME': 'N-Q-R-W'}],1
49th St,[{'NAME': 'N-Q-R-W'}],1
Franklin Ave - Fulton St,[{'NAME': 'S'}],1
Botanic Garden,[{'NAME': 'S'}],1
Park Pl,"[{'NAME': 'S'}, {'NAME': '2-3'}]",2
Cortelyou Rd,[{'NAME': 'Q'}],1
Neck Rd,[{'NAME': 'Q'}],1
Ave H,[{'NAME': 'Q'}],1
Ave J,[{'NAME': 'Q'}],1
Ave M,[{'NAME': 'Q'}],1
Parkside Ave,[{'NAME': 'Q'}],1
Ocean Pkwy,[{'NAME': 'Q'}],1
Queensboro Plz,[{'NAME': '7-7 Express-N-W'}],1
Carroll St,[{'NAME': 'F-G'}],1
Smith - 9th Sts,[{'NAME': 'F-G'}],1
7th Ave,"[{'NAME': 'F-G'}, {'NAME': 'B-Q'}, {'NAME': 'B-D-E'}]",3
15th St - Prospect Park,[{'NAME': 'F-G'}],1
Sheepshead Bay,[{'NAME': 'B-Q'}],1
Brighton Beach,[{'NAME': 'B-Q'}],1
Wall St,"[{'NAME': '4-5'}, {'NAME': '2-3'}]",2
Bowling Green,[{'NAME': '4-5'}],1
138th St - Grand Concourse,[{'NAME': '4-5'}],1
Borough Hall,"[{'NAME': '4-5'}, {'NAME': '2-3'}]",2
Eastchester - Dyre Ave,[{'NAME': '5'}],1
Baychester Ave,[{'NAME': '5'}],1
Morris Park,[{'NAME': '5'}],1
14th St,"[{'NAME': '1-2-3'}, {'NAME': 'A-C-E'}, {'NAME': 'F-M'}]",3
34th St - Penn Station,"[{'NAME': '1-2-3'}, {'NAME': 'A-C-E'}]",2
Clark St,[{'NAME': '2-3'}],1
Hoyt St,[{'NAME': '2-3'}],1
Central Park North (110th St),[{'NAME': '2-3'}],1
Harlem - 148 St,[{'NAME': '3'}],1
40th St,[{'NAME': '7'}],1
90th St - Elmhurst Av,[{'NAME': '7'}],1
82nd St - Jackson Hts,[{'NAME': '7'}],1
52nd St,[{'NAME': '7'}],1
74th St - Broadway,[{'NAME': '7'}],1
69th St,[{'NAME': '7'}],1
103rd St - Corona Plaza,[{'NAME': '7'}],1
Lexington Ave - 63rd St,[{'NAME': 'F-Q'}],1
W 8th St - NY Aquarium,[{'NAME': 'F-Q'}],1
Canal St - Holland Tunnel,[{'NAME': 'A-C-E'}],1
42nd St - Port Authority Bus Term,[{'NAME': 'A-C-E'}],1
W 4th St - Washington Sq (Upper),[{'NAME': 'A-C-E'}],1
Forest Ave,[{'NAME': 'M'}],1
Middle Village - Metropolitan Ave,[{'NAME': 'M'}],1
Fresh Pond Rd,[{'NAME': 'M'}],1
Knickerbocker Ave,[{'NAME': 'M'}],1
Central Ave,[{'NAME': 'M'}],1
Seneca Ave,[{'NAME': 'M'}],1
Jackson Hts - Roosevelt Av,[{'NAME': 'E-F-M-R'}],1
Forest Hills - 71st Av,[{'NAME': 'E-F-M-R'}],1
Wakefield - 241st St,[{'NAME': '2'}],1
Bay Ridge - 95th St,[{'NAME': 'R'}],1
Bay Ridge Ave,[{'NAME': 'R'}],1
5th Ave - 59th St,[{'NAME': 'N-R-W'}],1
Hoyt - Schermerhorn Sts,[{'NAME': 'A-C-G'}],1
Jay St - MetroTech,"[{'NAME': 'A-C-F'}, {'NAME': 'N-R'}]",2
53rd St,[{'NAME': 'N-R'}],1
45th St,[{'NAME': 'N-R'}],1
59th St,[{'NAME': 'N-R'}],1
Court St,[{'NAME': 'N-R'}],1
Whitehall St,[{'NAME': 'R-W'}],1
City Hall,[{'NAME': 'R-W'}],1
